Key	Type	Desc	English	Français
15bit	Text		15-bit	15-bit
15bitDither	Text		15-bit (Dither)	15-bit (Tramage)
24bit	Text		24-bit	24-bit
Achievements/CatchStarlightNautilus	Text		Legendary Fossil	Fossile légendaire
Achievements/CherryBlossomTrees	Text		5 Centimeters Per Second	5 centimètres par seconde
Achievements/DefeatAtlanteanWorm	Text		Thalassophobia	Thalassophobie
Achievements/DefeatAzeos	Text		From the Skies!	Venu du Ciel!
Achievements/DefeatGhorm	Text		Bugging Out	Môche comme un pou!
Achievements/DefeatGlurch	Text		A Slimey Encounter	Un peu trop collant à mon goût!
Achievements/DefeatHivemother	Text		Watch Your Step	Surveillez vos pas!
Achievements/DefeatIgneous	Text		Burning Through	Je m’enflame
Achievements/DefeatIvy	Text		Toxic Personality	Personnalité toxique
Achievements/DefeatKingSlime	Text		Slippery Shinobi	Shinobi glissant
Achievements/DefeatMalugaz	Text		You're a Wizard	Tu es un Sorcier!
Achievements/DefeatMorpha	Text		Slippery When Wet	Attention sol glissant!
Achievements/DefeatOmoroth	Text		From the Depths!	Venu des Profondeurs!
Achievements/DefeatRaAkar	Text		Just Deserts	Pas piqué des hannetons!
Achievements/Discover100CookBookRecipes	Text		Certified Chef	Cuisinier certifié
Achievements/EquipRingOfRockAndStone	Text		Rock and Stone!	Rock and Stone!
Achievements/FeedCattle	Text		A Good Life	Une belle vie
Achievements/FirstPet	Text		Your Very First	Votre tout premier
Achievements/GainOver200MovementSpeed	Text		In a Rush	Un homme pressé
Achievements/HarvestGoldenIngredient	Text		Farmer Midas	Midas, le fermier
Achievements/KeyArtCharacter	Text		Impersonator Syndrome	Syndrome de l'imitateur
Achievements/MaxedOutCooking	Text		Cheese it!	C'est bon!
Achievements/MaxedOutCrafting	Text		Crafty Explorer	Explorateur astucieux
Achievements/MaxedOutFishing	Text		Completely Hooked	Complètement Accro
Achievements/MaxedOutGardening	Text		Nature Nurturer	Nourricier de la nature
Achievements/MaxedOutMelee	Text		...Sting like a bee	...Pique comme une abeille
Achievements/MaxedOutMining	Text		Diggy Diggy Hole	Diggy Diggy Hole
Achievements/MaxedOutRange	Text		Robin Hood	Robin des Bois
Achievements/MaxedOutRunning	Text		Float like a butterfly...	Flotte comme un papillon...
Achievements/MaxedOutVitality	Text		Health Conscious	Soucieux de leur santé
Achievements/ObtainPhantomSpark	Text		The Phantom Spark	L'étincelle fantôme
Achievements/ObtainRuneSong	Text		The Rune Song	La chanson runique
Achievements/ObtainSoulSeeker	Text		The Soul Seeker	La Chercheuse d'Âme
Achievements/ObtainTheOracleDeck	Text		The Heart of the Cards	L’âme des cartes
